84;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Política y Relaciones Internacionales;Relaciones Internacionales y Estudios Políticos;Presencial;9;160
85;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Arte y Diseño;Artes Plásticas;Presencial;8;166
86;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Arte y Diseño;Arquitectura;Presencial;8;148
87;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Arte y Diseño;Cine y Televisión;Presencial;8;158
88;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Arte y Diseño;Diseño Gráfico;Presencial;8;148
89;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Arte y Diseño;Diseño Industrial;Presencial;7;118
90;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Agrícola;Presencial;10;180
91;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Electrónica;Presencial;10;172
92;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Mecatrónica;Presencial;10;179
93;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Civil;Presencial;10;180
94;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Industrial;Presencial;10;168
95;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Química;Presencial;10;180
96;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería de Sistemas y Computación;Presencial;10;165
97;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Eléctrica;Presencial;10;167
98;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Mecatrónica;Presencial;10;180
99;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Agronómica;Presencial;10;180
100;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Económicas y Administrativas;Administración de Empresas;Presencial;10;164
101;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Económicas y Administrativas;Contaduría Pública;Presencial;10;167
102;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Económicas y Administrativas;Economía;Presencial;10;151
103;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Antropología;Presencial;8;122
104;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Estudios Literarios;Presencial;8;119
105;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Español y Filología Clásica;Presencial;8;126
106;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Filología e Idiomas;Presencial;8;140
107;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Filosofía;Presencial;8;122
108;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Geografía;Presencial;8;128
109;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Historia;Presencial;8;122
